Ticket ID,Customer Name,Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating
78,51,1818,63,0,12,355,0,4,781,0,1071,2,1,2257,1830,5.0
83,1321,1383,24,1,33,630,3,15,382,0,721,2,3,732,2437,1.0
87,629,1375,46,1,38,17,4,12,1276,0,1943,0,2,2106,786,2.0
90,1612,928,40,1,39,29,2,12,649,0,745,3,1,40,440,5.0
96,1596,584,60,1,5,628,2,1,2435,0,2068,1,0,89,2226,5.0
99,1974,2241,38,1,35,246,0,14,1366,0,917,1,0,893,1764,5.0
103,104,1034,40,0,4,383,3,1,2185,0,1330,0,1,428,1836,3.0
107,1892,549,42,0,30,495,1,7,1520,0,2354,2,1,1396,2459,2.0
109,1362,1761,33,1,11,7,4,13,1217,0,799,0,0,407,1039,4.0
111,332,315,60,0,1,563,1,10,2187,0,1165,1,1,436,1539,2.0
114,2408,392,27,2,25,669,1,9,1508,0,2279,1,1,458,4,1.0
115,2672,615,28,0,37,257,1,1,2519,0,1261,1,1,1255,742,1.0
117,2237,664,20,0,41,684,1,15,753,0,369,1,1,2223,2178,5.0
118,909,1595,18,1,17,46,0,13,2451,0,957,3,2,135,600,5.0
120,2302,1317,41,0,12,566,0,15,778,0,34,2,2,575,1768,2.0
129,2266,1084,49,1,0,460,1,6,362,0,2466,3,1,2,142,3.0
131,1311,1086,43,1,4,43,0,12,754,0,1155,3,1,2519,1793,2.0
134,1211,1807,50,1,30,522,3,14,1599,0,93,0,2,2019,30,5.0
135,1944,2437,66,1,33,119,1,13,1755,0,1797,0,1,961,203,2.0
138,982,1296,21,2,1,706,4,8,381,0,2313,2,0,1204,1140,4.0
139,799,123,58,1,0,400,2,11,532,0,1011,0,0,68,867,2.0
141,1805,1053,47,1,22,484,1,13,2643,0,1282,0,1,1161,678,1.0
142,1608,2450,31,2,38,102,4,15,910,0,2596,1,0,2491,649,2.0
148,2606,1959,22,0,3,273,0,11,1381,0,1636,2,3,1620,58,3.0
149,2078,1984,40,2,22,650,3,7,887,0,802,1,0,1078,1663,1.0
150,1458,2397,64,0,32,434,4,10,1399,0,992,0,1,1950,2369,3.0
151,2246,207,29,0,18,281,3,12,1039,0,87,0,1,1846,848,4.0
162,2682,706,29,0,19,5,3,13,712,0,1084,1,2,448,1905,3.0
163,2285,129,30,1,7,649,3,9,1360,0,1913,0,2,2531,1294,1.0
164,334,1019,34,1,25,308,1,12,85,0,292,3,2,2255,1129,3.0
165,2079,190,24,1,19,496,0,13,544,0,1942,2,3,2309,2523,5.0
167,2432,2124,32,0,40,92,3,1,1395,0,2239,3,1,596,937,3.0
168,1809,682,41,1,14,30,4,4,2261,0,610,3,0,1520,775,3.0
170,2276,2432,30,1,39,212,2,8,1076,0,2759,3,2,1691,1356,1.0
171,150,262,44,0,25,710,0,13,974,0,233,2,3,1863,2216,4.0
176,1703,2182,42,2,33,644,4,4,1117,0,878,3,1,1577,917,4.0
183,1035,1703,33,0,36,463,2,4,1763,0,2608,1,0,239,818,4.0
184,2495,1995,32,0,18,75,0,8,120,0,1201,3,2,55,510,4.0
189,260,460,37,2,34,367,3,11,2671,0,4,1,2,1895,947,1.0
193,299,1694,58,2,16,654,2,0,1135,0,1885,3,2,2515,24,1.0
195,583,1997,57,1,36,520,0,9,1260,0,2168,3,3,536,1445,2.0
198,2128,2536,30,1,24,385,3,4,2343,0,562,1,0,406,9,3.0
199,1860,467,60,0,1,558,1,13,290,0,1606,0,0,195,2301,5.0
200,2380,903,66,2,9,256,2,15,355,0,1043,3,0,1514,2434,5.0
205,961,720,43,0,17,158,1,15,610,0,119,1,2,2080,2127,3.0
206,1723,1113,55,1,39,321,3,4,1571,0,680,3,2,1647,1371,1.0
210,1840,373,62,2,31,34,4,4,2126,0,2751,2,0,2557,2386,1.0
220,327,2408,65,0,9,619,4,14,867,0,565,0,3,1206,1344,2.0
221,1009,1282,70,0,39,437,0,7,1860,0,1329,3,3,1640,706,5.0
226,943,144,35,0,33,87,4,12,604,0,2598,1,0,1481,1,4.0
227,168,2509,53,0,3,361,0,12,1169,0,2756,1,2,16,1938,4.0
230,2100,2272,66,1,27,408,4,6,1802,0,1386,0,3,1007,1300,2.0
237,1595,2088,40,1,41,364,3,14,2402,0,816,0,2,1037,166,3.0
238,1659,1521,31,1,39,612,2,10,1036,0,2169,1,3,161,1082,4.0
241,1801,1010,66,1,32,560,4,4,1879,0,2621,2,3,1528,1192,5.0
242,1663,2418,55,1,41,652,0,11,1321,0,2752,2,3,1008,2569,2.0
250,660,378,35,1,38,616,3,11,2035,0,677,1,0,1796,1742,3.0
251,2711,453,19,0,34,562,4,13,1485,0,1007,0,2,442,1018,2.0
260,2221,1541,33,1,33,580,0,1,617,0,1954,2,3,754,1389,5.0
263,1257,1404,48,1,26,697,2,6,566,0,1672,3,0,741,114,2.0
265,1326,2502,46,2,39,533,3,2,2114,0,442,0,3,1960,603,3.0
266,813,2148,29,1,20,115,1,11,1242,0,642,3,0,2390,1947,2.0
270,1404,490,64,2,24,485,3,6,1414,0,2620,1,3,931,1933,3.0
271,2012,2652,63,1,40,365,0,3,2405,0,2458,0,2,1670,1623,1.0
278,291,2391,39,0,5,56,0,14,625,0,2220,3,0,2420,1729,4.0
279,272,1857,21,2,3,512,4,15,629,0,1543,2,3,137,38,5.0
281,1692,95,33,1,7,483,2,14,1741,0,988,0,0,1705,1931,2.0
293,24,2099,35,0,32,695,0,11,2568,0,1474,1,1,699,1200,2.0
295,350,2574,58,0,32,240,2,2,547,0,2024,0,2,283,123,3.0
297,1889,2404,26,0,27,447,0,7,1885,0,40,3,3,1372,1061,5.0
298,107,2721,24,1,3,249,1,2,1236,0,54,0,2,556,2105,2.0
303,2478,2368,44,1,2,21,2,10,1588,0,2315,3,2,153,286,1.0
305,2211,293,53,0,2,422,1,15,2293,0,141,3,0,1482,2515,5.0
307,1950,905,32,0,15,540,3,10,1279,0,1036,2,3,2005,2387,2.0
311,2065,2640,53,1,31,243,4,10,171,0,2087,1,3,1636,618,2.0
312,281,656,46,0,6,195,3,13,685,0,2480,0,0,924,1156,2.0
313,2475,542,46,0,27,173,4,1,443,0,2595,3,1,98,242,1.0
315,1932,1033,30,0,16,372,1,9,1417,0,1587,1,1,765,703,2.0
318,2462,164,18,1,3,121,4,2,302,0,1277,2,0,950,89,4.0
321,1020,1038,27,2,28,575,1,15,1679,0,131,3,1,1534,651,4.0
323,536,1822,70,1,8,681,3,1,1290,0,1597,0,3,850,96,3.0
326,1375,1667,52,0,26,26,3,6,1538,0,416,2,2,136,1395,4.0
330,1675,2123,45,0,16,647,3,12,1931,0,2473,3,0,584,1220,5.0
333,534,1095,21,1,13,107,4,4,286,0,2362,3,3,2121,2362,2.0
334,2343,845,41,2,31,394,4,7,1850,0,752,3,2,1275,80,2.0
339,786,1873,45,1,41,395,4,11,2447,0,830,0,3,1075,2001,3.0
340,283,1987,33,1,34,55,2,3,2251,0,1154,2,1,1857,1343,1.0
343,1315,319,21,1,38,377,1,2,1530,0,1285,2,0,1866,2502,5.0
345,1590,1537,52,2,19,491,4,8,2037,0,486,1,2,689,2081,3.0
346,929,612,54,1,14,457,4,9,1430,0,2055,1,3,1893,890,5.0
350,1747,1713,28,0,20,192,0,1,11,0,1156,0,1,51,2082,3.0
351,2226,483,70,2,14,653,1,11,1196,0,2076,0,3,951,2063,2.0
353,1621,891,47,1,7,340,3,7,2244,0,1519,1,1,1911,1302,2.0
354,2337,2153,52,1,28,715,1,14,2346,0,2120,0,0,2265,627,4.0
357,1499,1023,38,1,41,640,4,2,2454,0,2507,1,0,191,2455,2.0
361,127,2336,42,1,31,35,1,8,648,0,1936,3,1,798,1087,5.0
362,707,184,50,2,6,332,2,11,615,0,2372,3,0,1531,1781,4.0
365,535,1841,33,1,15,621,1,9,109,0,2390,1,0,1781,2388,1.0
366,56,1276,22,1,6,32,0,10,1533,0,1215,3,3,1388,907,3.0
371,301,2362,24,1,34,297,3,0,1485,0,888,3,1,1683,54,2.0
372,614,2633,39,2,2,409,1,1,2175,0,2556,3,1,3,33,1.0
373,2592,1650,32,1,15,661,3,1,1000,0,1748,3,3,1763,2491,5.0
374,1615,367,24,2,16,507,4,2,488,0,2636,0,2,1300,1435,1.0
376,590,2074,30,0,23,578,2,14,2679,0,2091,2,2,2335,2390,1.0
379,2518,1006,42,2,30,196,3,3,1408,0,1081,3,1,2154,3,4.0
381,2583,2560,37,0,16,121,2,10,448,0,2425,2,1,900,1588,5.0
382,508,1610,62,1,38,603,2,14,2555,0,1950,1,1,300,47,4.0
384,201,2686,37,2,37,342,3,5,2180,0,1125,1,3,1030,1560,3.0
386,2051,1380,49,0,17,291,4,15,1598,0,1604,3,0,1881,1405,4.0
387,1832,2051,52,1,41,552,1,6,388,0,246,0,1,2036,51,2.0
388,677,1007,22,0,0,335,0,3,1185,0,2247,1,0,1921,2088,4.0
391,8,2279,19,2,7,544,4,5,351,0,586,1,2,682,2122,4.0
395,212,2265,43,0,26,56,2,14,1524,0,48,0,0,1925,1479,1.0
396,721,208,21,0,15,352,4,4,2474,0,1745,2,2,0,1069,2.0
403,1343,1821,51,0,37,507,1,2,2154,0,1348,3,3,1249,1107,3.0
404,2234,1419,67,2,17,668,0,7,2527,0,399,2,2,387,7,1.0
405,2569,2635,69,1,4,596,1,1,1822,0,2647,0,3,1082,1591,2.0
409,2091,2166,49,0,11,79,2,11,1308,0,457,0,1,1969,355,2.0
412,1010,2732,19,1,2,491,3,6,1004,0,1614,2,2,657,868,4.0
419,1372,587,47,0,14,164,4,15,1791,0,1163,2,0,4,2451,2.0
429,1113,1362,35,1,32,110,3,6,231,0,1002,1,2,2006,785,3.0
430,905,1462,64,1,37,400,3,3,1402,0,775,2,0,1793,1965,1.0
438,2544,2547,69,0,9,470,1,13,2055,0,2015,0,3,1216,1940,4.0
439,2483,1799,57,2,24,497,2,4,1627,0,1259,3,3,316,288,2.0
440,766,1597,55,2,20,655,1,8,2303,0,2009,2,1,2414,2380,2.0
442,2456,2304,39,1,2,145,4,3,1164,0,1599,3,0,2049,606,2.0
444,2621,2465,36,1,8,467,3,4,2144,0,1740,3,2,676,1478,3.0
445,762,1080,56,0,17,321,4,5,1312,0,132,3,2,2028,1752,1.0
450,2655,1073,47,2,8,34,3,15,1460,0,186,0,0,2475,729,1.0
454,2460,2682,21,0,29,446,0,0,841,0,2103,1,3,1879,90,1.0
456,703,66,28,1,13,430,3,2,956,0,462,2,3,523,797,5.0
459,601,186,58,1,1,190,3,4,36,0,2099,2,1,2490,1394,5.0
460,704,1687,40,0,33,408,2,9,1980,0,2305,2,1,1475,1456,1.0
462,1680,2052,52,2,17,259,0,4,678,0,2371,0,1,33,1629,3.0
464,1831,641,51,2,9,194,2,2,1347,0,738,3,3,756,1060,2.0
468,683,1229,19,0,27,114,0,4,25,0,1074,0,0,1569,872,5.0
469,785,1736,38,0,15,253,1,8,1139,0,2281,2,1,640,48,2.0
471,1818,181,65,2,30,471,3,3,733,0,1545,0,2,2312,1509,3.0
473,76,1488,42,0,36,510,1,14,2259,0,1105,3,2,1574,1319,4.0
475,971,1851,60,2,8,689,2,0,270,0,993,2,3,1430,346,1.0
484,288,1068,37,2,2,261,4,13,2480,0,1377,2,2,2534,138,5.0
485,426,481,70,0,8,560,4,3,383,0,1582,0,0,2123,906,5.0
486,1385,797,33,0,11,525,2,11,2202,0,720,3,2,131,1505,5.0
493,2447,2261,66,1,5,75,0,0,1454,0,718,0,0,1980,863,4.0
496,1462,2554,33,2,12,690,4,0,536,0,479,2,3,735,2485,1.0
497,1834,135,66,2,38,303,4,7,2652,0,2520,3,2,690,1424,1.0
501,2316,2230,66,2,14,230,1,11,593,0,1993,1,0,993,1974,5.0
502,210,2231,59,0,8,504,0,6,1999,0,604,0,2,2060,2131,2.0
504,2686,980,43,0,39,586,4,2,875,0,2047,3,2,1612,2038,3.0
510,2325,776,40,1,4,701,2,11,466,0,182,1,0,1148,2000,5.0
512,2435,737,43,2,9,612,2,1,902,0,278,2,2,447,1094,2.0
515,2144,1770,62,2,1,400,4,4,722,0,1935,0,0,1919,1610,1.0
516,2430,1727,54,1,16,446,4,12,2285,0,1371,3,2,310,93,2.0
517,2109,2644,55,1,11,62,0,15,1431,0,2749,0,2,449,1547,4.0
519,144,2736,21,0,28,364,2,0,870,0,2718,0,0,1355,2179,3.0
525,939,2671,38,2,29,287,3,1,325,0,1460,2,1,1729,594,3.0
526,546,1515,30,1,25,345,3,13,883,0,1658,3,0,2540,994,1.0
527,2188,142,52,0,6,511,3,5,1253,0,2086,0,3,369,2511,1.0
535,970,1576,48,2,37,326,4,0,2011,0,127,3,2,1725,1222,2.0
537,2083,2082,32,0,27,609,4,10,429,0,522,3,2,1693,2180,3.0
540,241,815,27,2,0,449,1,2,1843,0,2156,3,0,800,2011,3.0
544,83,947,18,1,33,572,3,5,1289,0,2430,2,1,25,2129,2.0
556,1150,2050,44,1,18,640,0,7,1878,0,1717,0,1,2530,1554,5.0
559,184,2201,42,1,29,179,2,10,1704,0,876,0,0,2018,2382,3.0
562,154,103,44,1,20,135,4,8,1961,0,1586,3,2,520,1458,3.0
565,368,982,20,0,39,290,1,2,365,0,674,1,2,629,226,5.0
568,2482,63,46,0,9,626,0,10,2547,0,1022,1,2,2094,857,1.0
569,2492,1274,44,0,35,350,2,8,2485,0,1408,2,3,683,2094,4.0
575,1815,1620,25,0,0,482,0,8,1267,0,2188,3,0,1803,1259,2.0
576,248,2312,32,0,37,500,0,3,1669,0,1818,2,1,1984,845,4.0
577,1103,1114,66,2,3,337,2,0,1782,0,260,2,3,2429,402,1.0
581,2084,1848,27,2,35,244,1,15,1464,0,1223,0,3,487,757,2.0
586,2001,115,24,1,25,92,3,13,2458,0,293,0,0,1739,827,2.0
588,1616,501,52,1,20,23,3,12,1597,0,1251,3,2,691,1885,2.0
590,1078,870,44,0,33,53,4,3,465,0,537,1,2,404,535,5.0
597,1925,2137,68,1,21,39,1,3,2266,0,739,0,2,1661,1517,3.0
598,1749,1985,37,1,14,37,4,2,296,0,2367,1,2,124,1717,4.0
599,1873,1312,45,1,15,556,4,0,2267,0,2607,0,3,1202,2280,2.0
601,2497,1511,64,2,8,465,0,7,587,0,715,2,1,822,1776,4.0
604,2353,1657,48,2,23,100,3,14,1972,0,1600,0,1,932,307,5.0
605,2253,2628,27,2,18,658,2,7,2543,0,122,0,3,665,1672,3.0
612,2045,1827,19,0,24,689,2,8,2443,0,1759,3,2,2288,1916,4.0
620,1378,2552,59,0,2,492,4,14,2032,0,1239,2,1,823,532,4.0
621,143,1347,46,0,9,20,0,6,2051,0,1837,2,1,2464,247,5.0
622,1711,1206,39,2,37,313,2,0,710,0,2093,3,0,1894,1928,2.0
628,2535,266,19,2,9,518,0,6,2580,0,1109,1,1,2178,695,2.0
636,2089,1395,53,1,8,597,1,3,884,0,2003,3,0,1059,1453,3.0
641,964,959,67,1,21,474,4,6,2118,0,1858,2,1,1890,173,1.0
643,2245,2102,31,1,35,444,0,5,996,0,1927,1,2,2381,527,2.0
644,473,204,53,0,26,200,1,8,1634,0,2345,0,1,324,2223,5.0
645,1114,2601,67,1,24,63,3,14,622,0,1540,3,3,8,1525,1.0
649,1218,2386,52,0,33,72,3,2,1749,0,1608,3,2,659,2057,3.0
655,165,2127,43,2,28,355,3,15,406,0,1573,1,1,282,1051,1.0
657,1914,247,55,0,38,461,3,12,1223,0,2665,0,1,5,2007,1.0
658,2318,1061,57,2,31,536,4,2,1544,0,6,1,3,82,1856,2.0
663,1064,1793,26,0,1,712,0,3,933,0,579,1,3,15,159,4.0
665,872,1136,39,0,39,242,2,13,2569,0,219,2,3,2394,1134,3.0
666,38,1785,64,0,40,270,1,7,1198,0,2676,3,3,836,32,2.0
671,644,1348,63,2,39,261,2,4,751,0,434,3,2,1282,253,5.0
674,459,2434,28,0,30,595,2,15,1281,0,932,3,1,477,2012,1.0
679,1933,20,20,2,14,711,1,14,1962,0,1031,3,3,1401,382,3.0
680,252,2401,53,1,29,361,4,5,804,0,2184,0,2,222,1023,5.0
684,981,1836,68,2,38,7,2,13,609,0,191,0,1,1987,568,3.0
685,263,1564,39,2,9,135,4,3,2367,0,2613,0,0,544,660,3.0
689,907,1413,28,0,37,362,2,10,2509,0,2442,3,2,773,78,2.0
691,347,2684,68,2,8,1,0,5,2060,0,1806,3,1,2418,161,4.0
692,1002,489,41,2,9,316,2,15,1032,0,2642,1,3,1397,446,1.0
698,977,259,22,1,6,114,0,14,1616,0,280,0,3,1266,224,5.0
700,1754,317,22,0,5,84,1,10,2047,0,308,3,1,2150,14,1.0
702,1349,1777,63,2,39,536,4,4,2537,0,312,0,0,345,180,5.0
704,464,1970,37,2,12,293,2,14,2115,0,1397,1,0,1597,17,2.0
705,781,521,69,1,10,95,3,6,1140,0,329,1,0,1183,2553,3.0
708,848,2180,58,1,28,654,1,9,1674,0,2007,0,1,212,108,5.0
712,1282,1444,26,2,13,354,4,4,1731,0,2714,1,2,69,2194,2.0
713,679,2424,70,2,22,623,2,12,485,0,1899,1,1,715,1638,1.0
715,2384,1981,37,0,24,486,3,3,586,0,449,0,0,1321,163,5.0
718,681,1103,30,0,31,301,4,10,459,0,102,2,2,1033,61,2.0
721,12,478,68,2,0,341,0,7,1939,0,2033,0,2,1252,1513,1.0
723,547,1209,50,1,10,245,4,1,1574,0,2508,3,1,65,2169,1.0
729,695,695,29,2,22,425,1,4,375,0,8,1,3,34,1616,2.0
730,999,30,50,0,15,132,4,6,173,0,466,2,0,1924,2244,4.0
734,528,2065,49,2,31,545,1,10,845,0,1199,3,0,320,889,4.0
735,47,2681,62,0,6,37,4,12,1387,0,2739,0,0,2504,1788,2.0
736,2709,635,36,1,17,56,1,6,2105,0,412,1,0,2523,1577,1.0
741,975,729,45,1,39,158,4,10,1874,0,1008,0,1,129,406,1.0
744,111,1497,67,1,17,211,1,14,1998,0,561,0,1,1968,2449,4.0
747,1313,2107,37,1,31,33,4,10,723,0,2736,1,2,1521,190,3.0
749,1919,424,47,2,27,392,4,8,571,0,1790,0,1,234,2299,2.0
753,214,2041,51,2,40,520,1,11,2028,0,2108,0,2,2460,800,5.0
755,2250,2270,37,0,34,166,2,9,1504,0,333,3,2,1190,2329,4.0
756,972,1118,26,2,32,273,3,7,2040,0,1941,1,0,77,2442,2.0
761,216,2233,47,0,36,544,4,13,1938,0,2572,0,3,2430,1993,1.0
764,1325,1691,25,0,38,137,2,2,2052,0,2351,3,3,19,144,5.0
765,1577,2516,37,0,21,590,0,12,1821,0,1372,3,1,1019,1917,1.0
766,845,1250,22,2,41,244,3,9,318,0,1846,0,0,1,1056,5.0
770,121,1433,29,0,10,208,2,6,1928,0,1045,1,0,209,1417,4.0
773,1193,2084,49,1,41,166,1,0,1757,0,1949,3,0,107,852,5.0
777,2548,1980,27,0,8,158,1,11,1005,0,140,0,0,290,2201,5.0
781,2679,1733,19,0,38,243,3,5,1536,0,317,2,2,410,2140,4.0
787,918,1212,35,2,7,216,3,12,198,0,2761,0,2,910,949,1.0
791,431,2473,30,2,20,371,2,12,1210,0,1674,1,2,1318,336,4.0
792,2439,1384,21,0,13,98,1,15,689,0,1057,0,1,779,2292,3.0
796,2232,570,46,1,34,600,3,12,2120,0,997,0,0,1102,1197,1.0
799,1719,1973,57,1,18,614,2,10,1426,0,2264,1,3,1435,966,3.0
807,1433,397,28,0,37,31,4,10,1518,0,401,1,1,784,2559,2.0
810,1361,1263,41,0,29,59,3,13,228,0,2641,3,3,824,2343,4.0
816,765,1809,27,2,31,456,2,6,1596,0,1794,2,3,138,2571,4.0
819,1485,147,23,0,21,334,3,12,2459,0,1077,1,2,524,2361,3.0
822,1026,1556,29,0,23,554,1,6,1690,0,2576,0,3,1771,2002,3.0
828,2703,1365,19,0,14,456,2,15,2425,0,1060,2,1,1995,109,4.0
835,52,1503,21,1,16,414,3,6,333,0,302,0,0,2468,1390,4.0
839,615,372,27,0,8,487,1,8,1595,0,500,3,2,2447,1782,3.0
841,1124,2743,70,2,31,389,2,11,1536,0,195,0,2,1468,1574,5.0
847,1725,711,49,0,5,21,0,11,1855,0,1509,1,2,221,554,4.0
851,697,381,53,0,13,17,3,5,1527,0,780,2,1,1674,1996,1.0
853,1635,648,29,0,37,629,3,5,2066,0,2402,3,1,526,903,5.0
855,178,1706,69,0,28,306,0,1,2617,0,1034,1,3,2379,411,3.0
856,1822,2488,67,0,41,667,0,7,1249,0,225,1,3,2003,2333,2.0
858,2161,116,52,2,34,239,2,9,400,0,1815,3,2,1560,668,5.0
862,2125,456,25,2,16,9,3,5,931,0,1361,3,3,555,1576,3.0
863,2261,534,23,2,28,375,3,0,2038,0,2711,2,1,457,1758,2.0
864,819,768,26,0,9,650,4,11,2421,0,281,3,0,2552,550,1.0
866,1956,2118,30,0,4,69,1,14,47,0,2237,1,2,83,1488,5.0
867,176,689,33,1,8,127,3,6,1354,0,1530,0,0,145,586,3.0
876,1820,2126,48,0,6,402,1,12,1576,0,1698,3,2,1816,2308,3.0
877,1467,2629,45,2,0,371,4,9,225,0,2696,1,2,1917,1820,5.0
881,1726,2285,19,0,3,350,0,3,2605,0,2031,1,0,1452,94,2.0
884,1210,2692,21,1,37,260,2,12,289,0,2045,0,1,1178,1398,4.0
888,824,2029,18,0,7,684,0,10,1742,0,1734,0,2,2229,1432,5.0
890,938,415,37,0,39,417,4,13,22,0,2253,2,3,1292,316,2.0
893,262,875,33,0,22,287,4,15,631,0,1851,3,2,181,1767,4.0
895,2665,2438,35,2,26,87,3,13,1715,0,1233,0,2,2182,2543,2.0
896,2332,2498,69,0,39,338,0,2,1684,0,1642,2,3,2116,1955,5.0
897,1765,1222,30,2,17,599,1,3,2102,0,481,1,0,2442,709,5.0
898,1376,2707,32,1,6,657,4,8,2082,0,713,2,2,1865,1953,4.0
904,1602,579,29,0,28,645,0,0,2288,0,2702,0,0,1313,1512,3.0
908,2154,2710,54,1,7,148,1,6,981,0,1308,0,2,80,2,2.0
912,2311,1940,25,0,14,455,3,8,2371,0,106,0,3,1974,2398,2.0
914,367,1441,29,2,28,15,2,1,698,0,446,1,3,1366,1085,4.0
918,1685,2005,34,0,14,310,1,5,2229,0,693,3,0,776,1891,2.0
920,2301,500,48,0,4,85,4,10,1488,0,2242,1,1,60,565,4.0
923,209,2259,43,1,4,98,2,4,2315,0,702,1,3,2306,68,3.0
927,2121,1379,47,0,5,218,0,9,1112,0,755,1,0,351,1296,4.0
930,1863,1697,46,0,35,91,0,6,709,0,79,0,2,2553,2062,1.0
934,2510,1847,60,1,20,405,4,6,1457,0,1514,3,2,141,1581,1.0
938,2023,1905,58,1,32,44,2,11,2513,0,2122,1,2,354,64,5.0
939,324,2607,53,0,26,470,4,10,1602,0,1380,0,3,666,1667,3.0
940,1636,1043,41,1,17,340,1,4,2461,0,2396,3,0,1284,122,2.0
945,1318,1226,63,1,32,89,1,0,1095,0,2709,2,1,1293,1702,5.0
950,731,1065,50,2,28,406,4,9,1612,0,1150,3,1,1163,74,4.0
951,1827,2435,64,2,26,579,1,8,1073,0,366,3,0,721,1570,3.0
954,518,2214,24,2,0,420,2,5,1648,0,1816,3,2,1513,504,5.0
955,1738,1975,30,0,20,250,1,12,2542,0,232,2,0,2275,1068,3.0
956,141,1345,20,0,7,356,1,6,2411,0,1869,0,2,1413,1779,5.0
957,1076,2168,64,2,39,432,2,8,2607,0,194,3,3,111,989,1.0
960,1252,1159,65,2,4,323,2,1,1324,0,2183,3,1,2093,1936,1.0
964,1520,677,33,0,4,580,1,6,1478,0,2098,2,1,707,1603,5.0
965,1266,1236,36,2,7,165,0,1,1739,0,1248,1,0,1319,2205,5.0
974,685,963,66,2,41,457,0,9,1138,0,90,2,3,1767,768,3.0
981,1550,2306,36,0,36,315,4,4,1530,0,451,3,1,2239,1206,3.0
987,1333,1575,21,1,25,493,4,11,1541,0,1799,0,3,37,728,4.0
994,1417,1561,57,2,41,494,0,5,1484,0,2360,0,3,167,443,1.0
998,825,1279,43,1,3,398,0,9,1509,0,951,3,2,541,1074,4.0
1000,265,1585,68,1,15,120,0,0,1149,0,1612,1,0,1851,2398,5.0
1005,529,2517,67,2,6,241,3,14,346,0,435,3,0,2572,2217,3.0
1007,2305,743,20,1,2,362,0,8,1665,0,498,0,1,411,925,4.0
1009,2424,2315,62,1,41,659,3,14,1441,0,1232,3,3,2431,1103,3.0
1010,1395,647,51,2,33,34,0,11,2520,0,2073,1,3,881,246,2.0
1011,2241,2145,38,1,25,180,3,7,1766,0,1802,2,0,1495,944,5.0
1013,1988,1476,64,2,26,549,3,9,2525,0,2358,1,1,451,333,4.0
1016,901,2174,59,2,35,687,2,0,379,0,1613,0,2,331,2142,1.0
1018,727,2321,48,2,13,175,1,14,516,0,1502,3,0,728,278,2.0
1020,2618,2500,39,2,6,265,1,6,50,0,1796,0,2,1503,2347,2.0
1022,2620,1152,29,2,41,364,2,8,2133,0,985,0,2,781,1342,5.0
1030,232,455,60,2,26,488,1,5,1781,0,2612,0,2,853,2099,1.0
